id,nome,peso_unidade,preco,calorias,proteina,gordura,carboidrato,refeicao,categoria
1,Ovo,50,0.019,1.43,0.13,0.09,0.02,Cafe da Manha,Proteina
2,Iogurte,170,0.023,0.51,0.04,0.03,0.02,Cafe da Manha,Proteina
3,Queijo,20,0.051,2.53,0.30,0.13,0.03,Cafe da Manha,Proteina
4,Pao,25,0.020,2.94,0.09,0.04,0.38,Cafe da Manha,Carboidrato
5,Banana,80,0.010,0.99,0.01,0.00,0.26,Cafe da Manha,Carboidrato
6,Tapioca,40,0.031,3.50,0.08,0.19,0.58,Cafe da Manha,Carboidrato
7,Abacate,430,0.003,0.96,0.01,0.12,0.00,Cafe da Manha,Gordura
8,Manteiga,14,0.064,7.17,0.01,0.81,0.00,Cafe da Manha,Gordura
9,Bacon,15,0.042,5.14,0.37,0.42,0.01,Cafe da Manha,Gordura
10,Tilapia,100,0.055,1.30,0.26,0.03,0.00,Almoco/Janta,Proteina
11,Frango Grelhado,100,0.020,1.59,0.32,0.03,0.00,Almoco/Janta,Proteina
12,Carne Vermelha,100,0.047,2.20,0.25,0.10,0.00,Almoco/Janta,Proteina
13,Ovo,50,0.019,1.43,0.13,0.09,0.02,Almoco/Janta,Proteina
14,Arroz Cozido,150,0.013,1.28,0.03,0.00,0.28,Almoco/Janta,Carboidrato
15,Macarrao,180,0.008,3.58,0.11,0.01,0.74,Almoco/Janta,Carboidrato
16,Batata Cozida,70,0.014,0.86,0.02,0.00,0.18,Almoco/Janta,Carboidrato
17,Mandioca,100,0.007,3.00,0.01,0.11,0.48,Almoco/Janta,Carboidrato
18,Azeitona,4,0.094,1.37,0.01,0.14,0.00,Almoco/Janta,Gordura
19,Castanha,2,0.213,5.73,0.10,0.46,0.28,Almoco/Janta,Gordura
20,Bacon,15,0.042,5.14,0.37,0.42,0.01,Almoco/Janta,Gordura
21,Batata Frita,110,0.034,5.23,0.04,0.34,0.47,Almoco/Janta,Gordura
